"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 22:59:26 IST 2022","Mon Dec 05 22:59:35 IST 2022","8555","","TC 11 : Verify Subscription","","TC 11 : Verify Subscription","1 Verify Subscription on Cart Page","1 Verify Subscription on Cart Page",""
"passed","Thu Dec 08 17:15:18 IST 2022","Thu Dec 08 17:15:35 IST 2022","17545","","TC 8 :  Verifying Product Description Page","","TC 8 :  Verifying Product Description Page","1 Verify PDP page","1 Verify PDP page",""
"failed","Thu Dec 08 17:59:14 IST 2022","Thu Dec 08 17:59:44 IST 2022","30453","","TC 23: Verify address details","","TC 23: Verify address details","verify Address and checkout","verify Address and checkout",""
"passed","Mon Dec 05 18:05:22 IST 2022","Mon Dec 05 18:05:34 IST 2022","12267","","TC 5 : Register User","","TC 5 : Register User","Register existing User","Register existing User",""
"failed","Thu Dec 08 13:23:41 IST 2022","Thu Dec 08 13:23:52 IST 2022","10557","","TC 6 : Contact Us Page","","TC 6 : Contact Us Page","3 Verify success message is visible","3 Verify success message is visible",""
"passed","Mon Dec 05 18:03:29 IST 2022","Mon Dec 05 18:03:44 IST 2022","14441","","TC 1 : Register User","","TC 1 : Register User","4 CLick Delete account","4 CLick Delete account",""
"passed","Mon Dec 05 16:08:33 IST 2022","Mon Dec 05 16:08:34 IST 2022","974","","TC 6 : Verifying Contact Us Page","","TC 6 : Verifying Contact Us Page","3 Enter name, email, subject and message","3 Enter name, email, subject and message",""
"passed","Mon Dec 05 14:10:07 IST 2022","Mon Dec 05 14:10:11 IST 2022","3584","","TC 1","","TC 1","verify login","verify login",""
"passed","Wed Dec 07 11:25:14 IST 2022","Wed Dec 07 11:25:30 IST 2022","15660","","TC 2 : Login User","","TC 2 : Login User","3 Delete Sccount","3 Delete Sccount",""
"passed","Mon Dec 05 16:00:37 IST 2022","Mon Dec 05 16:00:38 IST 2022","1017","","TC 21 : Add Review","","TC 21 : Add Review","2 Click on 'View Product' button","2 Click on 'View Product' button",""
"passed","Mon Dec 05 18:03:16 IST 2022","Mon Dec 05 18:03:29 IST 2022","13195","","TC 1 : Register User","","TC 1 : Register User","3 Filling Address Information","3 Filling Address Information",""
"failed","Thu Dec 08 17:14:09 IST 2022","Thu Dec 08 17:15:10 IST 2022","60696","","TC 3 : Login with Incorrect Credentials","","TC 3 : Login with Incorrect Credentials","Login with Incorrect credentials","Login with Incorrect credentials",""
"passed","Thu Dec 08 17:15:22 IST 2022","Thu Dec 08 17:15:27 IST 2022","5537","","TC 6 : Contact Us Page","","TC 6 : Contact Us Page","2 Upload file","2 Upload file",""
"passed","Thu Dec 08 17:12:51 IST 2022","Thu Dec 08 17:13:15 IST 2022","24303","","TC 19 : View & Cart Brand Products","","TC 19 : View & Cart Brand Products","1. View & Cart Brand Products","1. View & Cart Brand Products",""
"passed","Mon Dec 05 22:58:32 IST 2022","Mon Dec 05 22:58:42 IST 2022","9703","","TC 11 : Verify Subscription on Cart Page","","TC 11 : Verify Subscription on Cart Page","1. Navigate to url 'http://automationexercise.com'","1. Navigate to url 'http://automationexercise.com'",""
"failed","Thu Dec 08 17:14:25 IST 2022","Thu Dec 08 17:15:11 IST 2022","45684","","TC 23: Verify address details","","TC 23: Verify address details","verify Address","verify Address",""
"passed","Thu Dec 08 17:13:51 IST 2022","Thu Dec 08 17:14:18 IST 2022","27975","","TC 2 : Login User","","TC 2 : Login User","1 Login with correct credentials","1 Login with correct credentials",""
"passed","Thu Dec 08 17:15:45 IST 2022","Thu Dec 08 17:15:45 IST 2022","134","","TC 9 :  Search Products","","TC 9 :  Search Products","2 Verify all the products related to search are visible","2 Verify all the products related to search are visible",""
"failed","Mon Dec 05 23:48:55 IST 2022","Mon Dec 05 23:49:12 IST 2022","16275","","TC 20 : Search and verify cart","","TC 20 : Search and verify cart","1Search Products and Verify Cart After Login","1Search Products and Verify Cart After Login",""
"failed","Mon Dec 05 16:08:35 IST 2022","Mon Dec 05 16:08:45 IST 2022","10211","","TC 6 : Verifying Contact Us Page","","TC 6 : Verifying Contact Us Page","5 Verify success message is visible","5 Verify success message is visible",""
"passed","Thu Dec 08 17:12:23 IST 2022","Thu Dec 08 17:12:43 IST 2022","20038","","TC 18 : View Category products","","TC 18 : View Category products","1. View Category Products","1. View Category Products",""
"passed","Thu Dec 08 17:13:23 IST 2022","Thu Dec 08 17:13:41 IST 2022","17855","","TC 22 : Add to cart ","","TC 22 : Add to cart ","1 Add to cart from Recommended items","1 Add to cart from Recommended items",""
"passed","Mon Dec 05 16:00:25 IST 2022","Mon Dec 05 16:00:37 IST 2022","11549","","TC 21 : Add Review","","TC 21 : Add Review","1 Naviagte to URL","1 Naviagte to URL",""
"passed","Thu Dec 08 17:15:35 IST 2022","Thu Dec 08 17:15:36 IST 2022","562","","TC 8 :  Verifying Product Description Page","","TC 8 :  Verifying Product Description Page","2 Verify that product detail is visible: product name, category, price, availability, condition, brand","2 Verify that product detail is visible: product name, category, price, availability, condition, brand",""
"failed","Thu Dec 08 17:13:38 IST 2022","Thu Dec 08 17:14:35 IST 2022","56843","","TC 24: Download Invoice","","TC 24: Download Invoice","1  Download Invoice after purchase order","1  Download Invoice after purchase order",""
"passed","Thu Dec 08 17:11:44 IST 2022","Thu Dec 08 17:12:01 IST 2022","16344","","TC 10 : Verify Subscription","","TC 10 : Verify Subscription","1 Verify Subscription","1 Verify Subscription",""
"passed","Thu Dec 08 17:11:43 IST 2022","Thu Dec 08 17:12:14 IST 2022","30451","","TC 12 : Add Products to cart","","TC 12 : Add Products to cart","1 Add products to cart","1 Add products to cart",""
"failed","Thu Dec 08 17:58:32 IST 2022","Thu Dec 08 17:59:14 IST 2022","41866","","TC 23: Verify address details","","TC 23: Verify address details","1  Verify address details in checkout page","1  Verify address details in checkout page",""
